latitude,longitude,SO2 density,SO2 density amf,SO2 slant density,SO2 cloud fraction,SO2 sensor zenith angle,SO2 solar azimuth angle,SO2 density 15km,CO density,CO H2O  density,CO cloud height,CO sensor altitude,CO sensor zenith angle,CO solar azimuth angle,NO2  density,NO2 tropospheric density,NO2 stratospheric density,NO2 slant  density,NO2 tropopause pressure,NO2 absorbing aerosol index,NO2 cloud fraction,NO2 sensor altitude,NO2 sensor zenith angle,NO2 solar azimuth angle,Formaldehyde tropospheric HCHO  density,Formaldehyde tropospheric HCHO  density amf,Formaldehyde HCHO slant  density,Formaldehyde cloud fraction,Formaldehyde solar azimuth angle,Formaldehyde sensor zenith angle,UvAerosolIndex absorbing aerosol index,UvAerosolIndex sensor altitude,UvAerosolIndex sensor azimuth angle,UvAerosolIndex sensor zenith angle,UvAerosolIndex solar azimuth angle,UvAerosolIndex solar zenith angle,Ozone O3  density,Ozone O3  density amf,Ozone O3 slant  density,Ozone O3 effective temperature,Ozone cloud fraction,Ozone sensor zenith angle,Ozone solar azimuth angle,Cloud cloud fraction,Cloud cloud top pressure,Cloud cloud top height,Cloud cloud base pressure,Cloud cloud base height,Cloud cloud optical depth,Cloud surface albedo,Cloud sensor zenith angle,Cloud solar azimuth angle,emission
-0.51,29.29,2.05e-05,0.728213548,1.36e-05,0.130988418,39.13719419,-140.8744348,1.24e-05,0.036525684,1772.574405,1869.040414,829787.2871,38.98236793,-140.1580483,4.68e-05,1.64e-05,3.04e-05,9.29e-05,7311.869141,-1.935386372,0.067038417,829859.9604,35.26519455,-138.3439079,0.000169515,1.172826321,0.000143404,0.200754007,-141.8148271,43.05021331,-1.548118838,829747.857,16.15249193,43.48532665,-142.7861407,28.57362702,0.116775055,2.657703512,0.315733045,226.1721703,0.175166166,42.59654117,-143.0978679,0.213607797,63790.29624,3651.190311,66969.47873,3174.572424,8.690601422,0.256830201,39.55763284,-145.1839297,4.0251765
-0.51,29.29,0.000514142,0.748198569,0.00038468,0.110018253,52.86881638,-150.1917572,0.000154132,0.035337523,2703.2368,2809.138386,829883.8287,52.34437833,-133.6837145,3.07e-05,4.27e-07,3.03e-05,8.01e-05,7311.869141,-2.75437355,0.072134808,829527.125,52.86881638,-150.1917572,8.01e-05,1.175467134,1.88e-05,0.279449026,-135.66716,52.81056086,-1.038672679,829892.9606,-41.55763289,41.26903325,-135.3646273,30.27330411,0.117039174,2.619104354,0.31082768,227.4692925,0.606091298,41.26903325,-135.3646273,0.70353963,55923.79055,4216.986492,60068.89445,3516.282669,21.10340974,0.251101081,30.40182301,-142.5195447,4.231381
-0.51,29.29,-7.88e-05,0.676295994,-4.76e-05,0.121164182,35.51558704,-137.4091595,-2.76e-05,0.034674885,2053.60849,2667.310013,829735.0938,33.70307279,-134.8542576,5.09e-05,2.06e-05,3.03e-05,9.31e-05,7637.262458,-1.450562937,0.049392504,829744.8438,35.07862401,-136.2579474,0.000269432,0.869081199,0.000146414,0.160090225,-134.8265568,39.94906886,-1.584896305,829736.1429,-0.604324755,41.79470512,-136.4485177,25.04578529,0.117373399,2.572242691,0.306687788,228.9558399,0.215739148,41.79470512,-136.4485177,0.189335515,59904.31484,3980.59812,63751.12578,3355.710107,8.114694118,0.235846934,37.39297905,-141.5098053,4.347317
-0.51,29.29,0.000294335,0.87171331,0.000241655,0.227655597,57.0971241,-136.6168594,7.61e-05,0.035296326,2057.969243,3109.713019,829657.7292,43.19826947,-135.1584099,1.34e-05,-1.94e-05,3.28e-05,8.17e-05,8613.468843,-1.659020901,0.099592946,829323.8125,63.3517952,-151.4043732,0.000215393,1.291481614,0.000194356,0.264063423,-135.0737813,43.09036064,-1.282236758,829750.4078,-12.6949387,42.61211745,-131.5466699,24.38323063,0.117128516,2.589197877,0.307846734,226.4046247,0.493158364,42.61211745,-131.5466699,0.450184389,43494.92174,5530.354546,49846.00101,4495.301362,7.556143492,0.250228429,37.00702015,-137.388719,4.3108187
-0.51,29.29,-0.000285264,0.791955829,-0.000225916,0.11939659,58.49636841,-143.7269135,-8.81e-05,0.032866199,1381.990234,3032.115234,829465.3438,47.93819237,-138.460495,4.32e-05,1.19e-05,3.12e-05,0.000111934,7311.869141,-1.475391626,0.074321263,829375.5625,58.49636841,-143.7269135,0.000189845,1.038960318,8.92e-05,0.277281083,-134.5254822,32.51637379,-0.729849328,829785.2857,-24.96465519,35.59494897,-125.1854477,23.93304866,0.118835885,2.490735463,0.300611275,228.6588222,0.632641455,35.59494897,-125.1854477,0.524988036,53483.78398,4378.614648,58804.27656,3537.050659,10.49310684,0.24082846,30.49154129,-128.1963379,4.2693343
-0.51,29.29,-1.62e-05,0.97631079,-1.58e-05,0.10679891,23.73984146,-114.8876495,-7.86e-06,0.036543282,2089.307312,2575.835022,829674.5625,35.09266663,-120.4816628,4.44e-05,9.96e-06,3.45e-05,8.62e-05,7311.869141,-1.302379966,0.048415415,829881.0625,23.73984146,-114.8876495,0.000170112,0.98508358,0.000107612,0.10679891,-114.8876495,23.73984146,-1.021427564,829698.9896,16.37118407,35.88048798,-122.2583873,20.42453397,0.120437315,2.347135429,0.287378565,228.4941302,0.75235637,32.48287037,-119.6835389,0.813219317,57524.05825,3468.924146,63697.00727,2597.071563,20.53359967,0.250168468,35.84024826,-122.250699,4.251361
-0.51,29.29,-0.000114692,0.796940641,-0.000101399,0.164971204,31.16156013,-109.5956047,-5.08e-05,0.032543161,1979.946045,2830.622721,829662.8125,31.70761458,-115.4458898,4.15e-05,6.52e-06,3.26e-05,8.97e-05,8613.450356,-1.140575787,0.093848141,829890.8958,31.16156013,-109.5956047,0.000144135,1.074556411,0.000101872,0.19956562,-113.4348894,37.99534422,-1.204100349,829704.8727,0.006593362,44.95882057,-115.8024162,20.89167865,0.11846295,2.69990304,0.324800517,226.8328668,0.518513299,44.95882057,-115.8024162,0.534341825,61137.69752,3160.26467,67222.55616,2530.851476,24.25392792,0.260542576,42.68878924,-114.2963686,4.2819366
-0.51,29.29,5.56e-05,0.99854094,1.43e-05,0.157726044,33.59201525,-101.9441545,1.33e-05,0.037335115,2215.801032,2116.495497,829798.7217,31.67824677,-104.0960067,4.97e-05,1.64e-05,3.33e-05,8.89e-05,8613.421201,-1.286206325,0.016149476,829876.3337,23.73951815,-99.82277072,2.39e-05,1.304690172,-2.18e-05,0.157732233,-101.9461792,33.59201669,-1.194811338,829792.3795,-50.66634525,31.55996402,-105.1308488,21.46764467,0.121190546,2.338469876,0.287758621,228.8294299,0.650794655,31.55127819,-105.1310466,0.663893283,54818.475,4141.07334,60298.71797,3510.293652,13.81337862,0.289294934,28.59621124,-105.6871765,4.3529334
-0.51,29.29,0.000148946,0.728321351,0.000102045,0.113218856,31.66566366,-100.9355908,5.19e-05,0.033039508,1618.426345,1439.832755,829642.125,24.17648451,-98.40735441,4.21e-05,9.43e-06,3.27e-05,9.06e-05,8288.035354,-1.869588879,0.076057399,829594.674,31.66566396,-100.9366503,0.000241845,0.963115525,0.000164897,0.098163513,-100.9686953,37.19515038,-1.251782241,829700.9655,25.01289038,36.47023691,-98.10886989,18.78816031,0.120090148,2.469537031,0.30106719,228.1001025,0.446389354,36.47023691,-98.10886989,0.428406925,64737.89088,3039.951896,69162.28887,2575.371424,12.98501246,0.253665044,40.58769207,-98.40528874,4.305424
-0.51,29.29,0.000296812,0.761711986,0.000199789,0.143116634,39.31247729,-87.95862999,8.65e-05,0.033685227,1772.364698,2296.393642,829856.9219,36.06035666,-88.96056248,4.42e-05,8.31e-06,3.59e-05,0.000100585,8353.119653,-1.791382223,0.085659467,829805.7,39.31247729,-87.95862999,0.000113532,1.049446355,4.72e-05,0.177572036,-88.87151814,42.50995651,-1.915698319,829736.6458,-13.11077619,42.50995651,-88.87151814,20.18722592,0.121600998,2.56438257,0.316966302,229.7008075,0.179523777,42.50995651,-88.87151814,0.183974711,52835.43717,4497.445455,58430.73991,3655.228129,6.199493011,0.279614449,42.54525375,-88.8731486,4.2373986
-0.51,29.29,5.35e-05,0.760683807,3.92e-05,0.116170657,40.23524535,-83.01365764,1.73e-05,0.033282893,3736.763794,3313.108765,829946.6563,40.19869328,-82.9896698,4.09e-05,7.83e-06,3.31e-05,9.28e-05,7962.642385,-1.229684703,0.058937824,829977.4688,40.23488313,-83.01362852,0.000159034,0.975656741,9.11e-05,0.116142821,-83.01362852,40.23488313,-0.976868557,829803.9554,-25.19432961,41.49729179,-79.99659471,22.1679793,0.121531329,2.543633422,0.313426031,227.64395,0.694126672,41.49729179,-79.99659471,0.644608489,40240.14703,6467.252398,46138.01035,5433.785668,25.31066967,0.273863583,42.72009472,-80.00867189,4.3068933
-0.51,29.29,0.00011595,0.699314814,8.31e-05,0.055265875,13.54954296,-72.83579351,4.38e-05,0.032166515,2442.342341,2230.221642,829763.5575,19.62313294,-72.75354098,4.32e-05,9.37e-06,3.38e-05,8.34e-05,8613.437708,-1.837594771,0.028117868,829831.5242,13.54954296,-72.83579351,0.000111941,1.136660728,4.98e-05,0.055265874,-72.83579351,13.54954296,-1.654450033,829763.1603,16.30859525,30.0605032,-72.01640048,20.82113126,0.122574041,2.345053508,0.292419103,228.3977861,0.383039918,30.0605032,-72.01640048,0.45192305,44174.77557,7112.789351,50277.23948,6112.789338,19.91303736,0.287422542,30.62135715,-72.76826229,3.9083567
-0.51,29.29,-9.63e-05,0.764367225,-7.36e-05,0.000129502,15.62090772,-65.63020859,-3.78e-05,0.029678652,2168.820982,2038.367744,829865.0,19.42384897,-68.01776316,4.47e-05,1.12e-05,3.35e-05,8.54e-05,9579.180875,-1.730618175,0.0,829809.1875,15.63365886,-65.62776833,0.000334755,0.84302418,0.000144151,0.210624407,-63.49998798,34.25187086,-1.344417584,829721.4164,15.74778608,42.00453878,-63.12808945,21.44557256,0.121983458,2.563158889,0.317731813,229.1014357,0.677555199,42.00453878,-63.12808945,0.815109871,35095.12197,8793.561765,40170.02597,7793.561765,40.19420987,0.286398492,53.30729485,-60.71621913,4.515198
-0.51,29.29,-0.000127127,0.746806929,-8.86e-05,0.105744834,52.75324298,-58.11594634,-3.31e-05,0.029251855,2143.427608,3102.802185,829854.6006,34.16798116,-63.27697169,4.34e-05,1.09e-05,3.26e-05,0.000108961,7311.869141,-1.790281,0.066563705,829749.8096,52.75324298,-58.11594634,0.000174573,1.091100309,0.000113144,0.204605659,-60.7469764,40.7489298,-1.525181023,829872.0611,-11.86116447,43.40132348,-62.50743415,27.08729115,0.124006417,2.670679643,0.335797121,229.5042544,0.28856051,43.40132348,-62.50743415,0.205132516,49405.32073,6080.379192,56090.43591,5080.378996,5.066659704,0.27251554,40.74890326,-60.74828516,4.32839
-0.51,29.29,0.000188602,0.669661575,0.00012799,0.152503137,20.07393773,-53.72790231,3.46e-05,0.024247749,2867.003662,3817.364014,829813.25,15.92269421,-54.51307678,2.77e-05,-1.1e-06,3.27e-05,6.43e-05,8613.455879,-2.553518013,0.144943207,829799.4097,19.96580245,-53.74945538,0.000363517,0.998031855,0.000285513,0.051891543,-47.59619522,53.2112236,-2.013321754,829840.5583,35.05007129,22.43714191,-55.78855529,26.01037577,0.119390621,2.252807377,0.272866732,226.4853259,0.446890282,22.43744716,-55.78849445,0.764043272,43273.80993,7054.017336,49287.95973,6054.017336,15.4276954,0.281395691,33.04798843,-57.82206559,4.418508
-0.51,29.29,0.000182265,0.782559355,0.00014921,0.12436881,36.45281824,-46.64345215,6.35e-05,0.027015038,3344.42569,3207.008423,829729.0781,41.23907089,-50.6106081,3.85e-05,7.68e-06,3.08e-05,8.8e-05,7311.869141,-1.780123498,0.063007584,829675.6458,33.17608686,-46.43402542,0.000137553,1.090551456,9.09e-05,0.239408269,-49.40997249,42.88779336,-1.631671453,829732.4732,24.38301231,42.88779336,-49.40997249,26.07783491,0.119795381,2.63747673,0.321021175,228.2340489,0.240597905,42.88779336,-49.40997249,0.280684378,47383.23761,6829.085252,53805.87416,5829.085252,6.666850245,0.281621184,43.68505588,-49.81854611,4.4949617
-0.51,29.29,-7.32e-05,0.837010063,-6.09e-05,0.168506639,33.57224239,-49.25442206,-2.87e-05,0.028321809,2653.531299,3050.327173,829827.8625,37.1369957,-50.81590805,3.73e-05,8.9e-06,3.14e-05,8.77e-05,8179.587673,-1.758375752,0.115822904,829827.6853,35.50828262,-50.00945668,3e-05,1.089766376,-3.76e-05,0.169526523,-49.25377182,33.56860277,-1.535673308,829894.9676,-41.62131659,41.10182587,-52.62369245,31.21382696,0.121510654,2.618661296,0.322567131,230.5638905,0.304460987,41.10182587,-52.62369245,0.318412144,58206.46844,4836.169527,65351.85922,3877.865032,10.03209939,0.308599668,41.13954184,-52.64018871,4.4770775
-0.51,29.29,-3.82e-05,0.91903156,-4.43e-05,0.141764379,24.4424629,-47.67714429,-2.52e-05,0.02662685,2847.323418,2658.71986,829819.7909,24.52819133,-47.67141032,4.33e-05,1.28e-05,3.05e-05,9.55e-05,8613.443034,-1.971583366,0.052343294,829790.0313,39.98934174,-46.02014351,0.000187925,0.957054395,8.6e-05,0.222100891,-46.49544847,39.90518517,-1.956257591,829804.6953,-0.106705941,34.66134835,-46.54868479,30.14862479,0.121288257,2.52562034,0.310447144,229.2767224,0.23791187,34.66134835,-46.54868479,0.256283646,46962.97433,7301.393923,51848.88879,6444.251066,6.973704894,0.292811738,34.6286847,-46.56725794,4.520477
-0.51,29.29,0.000140006,0.868587514,0.000128905,0.160392275,47.272883,-42.52369772,5.73e-05,0.024464539,2816.441884,3514.408749,829716.2411,42.01542489,-43.208956,3.89e-05,4.38e-06,3.21e-05,0.000105787,8613.43306,-1.976132017,0.087529579,829829.3795,54.6219015,-46.73819486,9.62e-05,1.191737752,5.83e-05,0.160156311,-42.52339619,47.27288214,-1.83364154,829746.2905,-0.691497682,41.95516801,-43.17220367,30.6538278,0.119836047,2.640616407,0.321568355,228.8064504,0.280899332,41.95516801,-43.17220367,0.281940735,64030.45682,4149.005642,68587.05522,3506.686868,8.649811287,0.293509289,41.93314299,-43.21439354,4.4595714
-0.51,29.29,0.000292334,0.739541172,0.000216211,0.081470607,53.55246378,-29.94557444,8.8e-05,0.036572537,2018.337873,2025.793004,829608.4443,44.72516934,-36.92539301,4.19e-05,1.18e-05,3.01e-05,0.000103709,8613.422192,-2.094026652,0.062558349,829429.0414,53.55246366,-29.94581349,0.000153297,1.424749043,0.000121306,0.297667056,-36.76101536,50.10897196,-1.048043193,829737.2547,0.017367727,40.49788695,-40.36488662,33.01428443,0.11628112,2.675410409,0.315313162,227.6211555,0.600657534,40.49788695,-40.36488662,0.538530989,61682.77973,4300.831489,68239.9575,3441.231442,43.60306045,0.294272107,43.57921058,-39.7565665,4.332584
